Title
Indiana Jones and the Dial of Destiny
Sound of Freedom
No Hard Feelings
Asteroid City
Spider-Man: Across the Spider-Verse
Mission: Impossible - Dead Reckoning Part One
The Flash
Nimona
Insidious: The Red Door
Extraction II
Run Rabbit Run
Guardians of the Galaxy Vol. 3
Raiders of the Lost Ark
Elemental
The Out-Laws
Titanic
Avatar: The Way of Water
Evil Dead Rise
John Wick: Chapter 4
Indiana Jones and the Kingdom of the Crystal Skull
Dungeons & Dragons: Honor Among Thieves
The Covenant
Bone Tomahawk
Transformers: Rise of the Beasts
Independence Day
The Little Mermaid
Joy Ride
Indiana Jones and the Last Crusade
Indiana Jones and the Temple of Doom
The Super Mario Bros. Movie
Extraction
Fast X
"Ruby Gillman, Teenage Kraken"
Dune
Past Lives
X
Knights of the Zodiac
Spider-Man: Into the Spider-Verse
Jaws
Top Gun: Maverick
Interstellar
Beau Is Afraid
A Man Called Otto
Insidious
Mission: Impossible
Don't Worry Darling
Infinity Pool
Kandahar
Annihilation
Babylon
Air
Mission: Impossible - Fallout
The Shawshank Redemption
The Car
The Godfather
The Blackening
Nobody
Everything Everywhere All at Once
M3GAN
Cocaine Bear
Renfield
Sisu
The Batman
The Menu
The Dark Knight
The Wolf of Wall Street
The Machine
Ant-Man and the Wasp: Quantumania
The Whale
Midsommar
Mission: Impossible - Rogue Nation
Love
Inception
Bullet Train
The Patriot
A Star Is Born
Mission: Impossible III
BlackBerry
Mission: Impossible II
"Are You There God? It's Me, Margaret."
Pulp Fiction
Scream VI
The Boogeyman
Once Upon a Time in Hollywood
Mission: Impossible - Ghost Protocol
Top Gun
Shazam! Fury of the Gods
Harry Potter and the Sorcerer's Stone
Blade Runner 2049
Ghosted
The Pope's Exorcist
Spider-Man: No Way Home
Pearl
Triangle of Sadness
The Hunger Games
American Pie
Alien
Bridesmaids
Pride & Prejudice
Hypnotic
The Meg
Tetris
Jurassic Park
The Fabelmans
Back to the Future
One Flew Over the Cuckoo's Nest
Independence Day: Resurgence
Creed III
Old
Little Miss Sunshine
The Wrath of Becky
Roald Dahl's Matilda the Musical
Aliens
Inglourious Basterds
Avatar
65
Operation Fortune: Ruse de Guerre
John Wick
Sanctuary
Saving Private Ryan
Fall
Forrest Gump
Missing
Heat
White House Down
The Lord of the Rings: The Fellowship of the Ring
Prisoners
Pirates of the Caribbean: The Curse of the Black Pearl
The Grand Budapest Hotel
Barbarian
Talk to Me
Flamin' Hot
Aftersun
Insidious: The Last Key
Transformers
Puss in Boots: The Last Wish
We're the Millers
No Country for Old Men
The Sandlot
The Perfect Find
Immortals
Avengers: Endgame
The Departed
To Catch a Killer
Prisoner's Daughter
Guardians of the Galaxy
Nope
Gladiator
The Goonies
Django Unchained
Glass Onion
Terminator 2: Judgment Day
Dazed and Confused
The Woman King
The Shining
The Prestige
Book Club: The Next Chapter
Se7en
Gone Girl
Knock at the Cabin
There Will Be Blood
Insidious: Chapter 2
Goodfellas
Where the Crawdads Sing
Tenet
Tombstone
American Psycho
Dune
Fight Club
Fifty Shades of Grey
Insidious: Chapter 3
The Banshees of Inisherin
Hereditary
Black Adam
Schindler's List
The Gentlemen
You Hurt My Feelings
The Unbearable Weight of Massive Talent
The Huntsman: Winter's War
The Terminator
No Time to Die
The French Dispatch
Dunkirk
Inheritance
The Suicide Squad
